source_name
Dango Ouattara
Ryan Christie
Alex Scott
Lewis Cook
Milos Kerkez
Dean Huijsen
Illia Zabarnyi
Julian Araujo
Adam Smith
Kepa Arrizabalaga
Jamie Vardy
Odsonne Édouard
Stephy Mavididi
Abdul Fatawu Issahaku
Jordan Ayew
Bilal El Khannouss
Facundo Buonanotte
Wilfred Ndidi
Harry Winks
Victor Bernth Kristiansen
Caleb Okoli
Wout Faes
James Justin
Mads Hermansen
Dominic Calvert-Lewin
Iliman Ndiaye
Tim Iroegbunam
Jesper Lindstrøm
Jack Harrison
Dwight McNeil
Abdoulaye Doucouré
Orel Mangala
Ashley Young
Michael Keane
James Tarkowski
James Garner
Jordan Pickford
Cameron Archer
Ben Brereton
Ryan Fraser
Ross Stewart
Tyler Dibling
Adam Armstrong
Mateus Fernandes
Joe Aribo
Adam Lallana
Lesley Ugochukwu
Flynn Downes
Charlie Taylor
Jan Bednarek
Taylor Harwood-Bellis
Yukinari Sugawara
Aaron Ramsdale
Liam Delap
George Hirst
Sammie Szmodics
Jack Clarke
Wes Burns
Conor Chaplin
Omari Hutchinson
Jens Cajuste
Jack Taylor
Sam Morsy
Leif Davis
Jacob Greaves
Dara O'Shea
Axel Tuanzebe
Ben Johnson
Arijanet Muric
Dominic Solanke
Mikey Moore
Son Heung-min
Brennan Johnson
Pape Matar Sarr
James Maddison
Lucas Bergvall
Rodrigo Bentancur
Yves Bissouma
Dejan Kulusevski
Destiny Udogie
Micky van de Ven
Cristian Romero
Pedro Porro
Archie Gray
Guglielmo Vicario
Bryan Mbeumo
Fabio Carvalho
Ryan Trevitt
Mikkel Damsgaard
Yunus Emre Konak
Vitaly Janelt
Yehor Yarmoliuk
Kevin Schade
Keane Lewis-Potter
Nathan Collins
Ethan Pinnock
Sepp van den Berg
Kristoffer Ajer
Mads Roerslev
Mark Flekken
Raúl Jiménez
Rodrigo Muniz
Alex Iwobi
Adama Traoré
Reiss Nelson
Emile Smith Rowe
Issa Diop
Saša Lukić
Sander Berge
Andreas Pereira
Harrison Reed
Antonee Robinson
Calvin Bassey
Joachim Andersen
Kenny Tete
Bernd Leno
Alexander Isak
Harvey Barnes
Anthony Gordon
William Osula
Joe Willock
Jacob Murphy
Bruno Guimarães
Joelinton
Sandro Tonali
Lloyd Kelly
Lewis Hall
Dan Burn
Fabian Schär
Kieran Trippier
Valentino Livramento
Nick Pope
Ollie Watkins
Emi Buendía
Jacob Ramsey
Jhon Durán
John McGinn
Ian Maatsen
Morgan Rogers
Youri Tielemans
Amadou Onana
Ross Barkley
Lucas Digne
Leon Bailey
Pau Torres
Diego Carlos
Ezri Konsa
Emiliano Martínez
Jørgen Strand Larsen
Gonçalo Guedes
Matheus Cunha
Mario Lemina
João Gomes
Tommy Doyle
Jean-Ricner Bellegarde
Rodrigo Gomes
André
Rayan Aït-Nouri
Craig Dawson
Yerson Mosquera
Santiago Bueno
Nélson Semedo
Sam Johnstone
Jean-Philippe Mateta
Ismaila Sarr
Eberechi Eze
Jeffrey Schlupp
Eddie Nketiah
Will Hughes
Daichi Kamada
Adam Wharton
Jefferson Lerma
Tyrick Mitchell
Daniel Muñoz
Chris Richards
Marc Guéhi
Maxence Lacroix
Dean Henderson
Joshua Zirkzee
Marcus Rashford
Alejandro Garnacho
Amad Diallo
Rasmus Højlund
Bruno Fernandes
Christian Eriksen
Manuel Ugarte Ribeiro
Kobbie Mainoo
Diogo Dalot
Lisandro Martínez
Matthijs de Ligt
Noussair Mazraoui
André Onana
Danny Welbeck
Kaoru Mitoma
Simon Adingra
Yankuba Minteh
Georginio Rutter
João Pedro
Carlos Baleba
Mats Wieffer
Jack Hinshelwood
Pervis Estupiñán
Evan Ferguson
Lewis Dunk
Jan Paul van Hecke
Joël Veltman
Bart Verbruggen
Chris Wood
Morato
Anthony Elanga
Jota Silva
